60,14398,5
272,23,5
1830,1870,4
1333,9580,5
6266,12316,4
161,6160,3
1068,9711,4
8929,12101,5
1260,6072,4
426,782,4
4883,14276,4
12146,7826,5
7430,8840,4
27,786,2
1127,13649,4
1260,14511,1
866,3255,4
11442,7439,5
2966,1606,3
10943,7005,4
4181,14399,4
8101,13199,4
1333,8793,4
356,12933,4
2811,4168,4
16913,14431,5
188,13763,5
4687,10690,4
1333,12549,4
5611,3654,5
1621,6809,5
14381,11567,5
1353,9235,3
19,11991,5
8185,7423,5
13971,10980,4
3312,1914,4
409,14426,2
6065,4425,4
524,48,3
278,9287,4
3642,2217,4
103,8706,5
182,7689,4
7713,5078,5
5967,6261,5
740,56,5
4047,2267,4
9855,6318,4
1438,2661,4
98,7937,5
14,6097,4
8270,6043,5
242,11916,4
4630,2532,4
1966,6154,5
1607,11584,4
16724,13586,5
13719,10456,5
6887,4206,4
1075,6988,3
10240,6607,5
17350,14652,3
1333,16035,1
3083,3371,5
875,315,5
12964,9101,5
9860,12357,3
3104,1656,5
1911,3537,5
5328,4101,5
1153,7796,4
14281,15770,4
11720,14435,4
16791,13711,5
402,681,4
9883,12462,5
14474,11684,5
9793,6309,3
1081,12149,4
1607,5609,3
14653,13344,3
716,13181,4
2384,976,5
4671,13319,4
6638,4186,5
1343,2800,2
8306,6700,2
300,14391,4
1401,6378,5
10515,6701,4
1438,15053,4
12704,9208,3
1341,11153,4
957,11961,4
1711,2546,2
1692,314,5
1402,14809,5
5378,3326,5
17221,14491,1
13491,12405,1
4052,12139,5
1075,3000,3
788,59,5
461,4592,4
10111,6527,5
4602,12454,5
16880,14167,5
17516,15348,5
1890,470,4
2959,1554,3
2564,8418,3
6525,6293,5
626,12193,3
11452,7453,4
15128,12105,4
17538,15565,5
7070,4584,4
8198,6032,2
13595,10296,4
771,1251,4
80,6120,5
4504,6728,5
300,14507,4
2638,4102,5
7167,5154,4
11984,9085,4
39,11626,2
1116,12383,3
4855,9405,5
12079,7798,3
704,4142,5
10387,6791,5
2413,864,5
11237,7332,5
10793,6861,5
982,2300,3
1846,398,4
1068,9011,4
14494,11726,5
2659,11901,5
40,9369,3
2645,12105,4
5094,3173,5
321,40,5
2740,4167,5
1263,7889,5
9298,6212,1
62,9782,2
1915,2675,4
3814,14326,2
1862,11320,5
3571,9433,1
1017,13382,2
3232,1830,4
13634,10467,5
200,13746,3
7440,6616,5
11775,14429,3
109,10712,5
3833,14396,4
2663,1180,5
701,65,5
1343,7891,5
40,5779,3
307,26,5
2144,6161,5
10055,12043,5
5685,12691,4
17235,14501,4
7342,4595,4
1257,15183,3
7537,8765,5
3864,12361,5
2402,824,5
163,11895,2
4610,11276,5
1343,14593,5
11613,7577,5
1328,791,5
1974,13959,4
1218,6958,5
3579,2198,5
1654,6809,5
7839,8697,5
1260,6768,1
2105,2400,5
2073,6385,2
11212,7332,5
11867,13232,5
58,10209,4
1386,10211,5
1234,102,3
40,13683,4
3347,1938,4
403,12193,3
9994,6382,4
3246,7854,5
